Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
AABREV,,,AAB,Abbreviation,Supervisor,
ABANK,,,ABN,Bank sort codes,Supervisor,
ABATABT,Modification,,ABA,Batch server (recurring tasks),Supervisor,
ABATABTD,,,ABD,Batch server (recurring tasks),Supervisor,
ABATABTD2,,,A22,Batch server (recurring tasks),Development,
ABATCAL,,,ABC,Batch server calendar,Supervisor,
ABATGRP,Modification,Modification,ABG,Batch server (groups),Supervisor,
ABATHOR,,,ABH,Hourly constraints,Supervisor,
ABATPAR,,,ABP,Batch server (parameters),Supervisor,
ABATRQT,Modification,Modification,ABR,Batch server (queries),Supervisor,
ABATRQT2,,,A11,Batch server (queries),Development,
ABATRQTL,,,ABL,Batch server (queries),Supervisor,
ABATTAC,Modification,Modification,ABT,Batch server (tasks),Supervisor,
ABICOND,,,AII,Predefined conditions,Supervisor,ABI
ABIDATMRT,,,ABM,Datamart,Supervisor,ABI
ABIDATWRH,,,ABW,Data warehouse,Supervisor,ABI
ABIDIM,,,ABI,Dimensions,Supervisor,ABI
ABIDIMFLD,,,ABJ,Dimensions (fields),Supervisor,ABI
ABIHIERA,,,AHH,Hierarchies,Supervisor,ABI
ABIPRFUSR,,,AIU,BI user profile,Supervisor,ABI
ABIREGDES,,,ABY,Synchronization rules (dest),Supervisor,ABI
ABIREGORG,,,ABV,Synchronisation rules,Supervisor,ABI
ABIREPORT,,,ABO,Business objects reports,Supervisor,ABI
ABIREPORTD,,,ABQ,Business objects reports,Supervisor,ABI
ABIREPORTID,,,ABOID,Business objects reports,Supervisor,ABI
ABITABAGG,,,ABE,Fact table (aggregates),Supervisor,ABI
ABITABDAT,,,ABF,Fact tables,Supervisor,ABI
ABITABFLD,,,ABZ,Fact table (fields),Supervisor,ABI
ABITABIND,,,ABX,Fact table (index),Supervisor,ABI
ABITABLNK,,,ABK,Fact table (links),Supervisor,ABI
ABITRAUNV,,,ATV,Report translation,Supervisor,ABI
ABLBSYS,,,ASB,Graphic components,Supervisor,
ABLOB,,,ABB,Special folders,Supervisor,
ACALCUL,,,AKL,Calculator history,Supervisor,
ACCCOD,,,ACS,Access codes,Supervisor,
ACCES,,,ACC,Access by user,Supervisor,
ACHANGE,,,ACG,Key change set up,Supervisor,
ACLACOL,,,ACLAC,Classes (Collections),Supervisor,
ACLAFLD,,,ACLAF,Classes (lines),Supervisor,
ACLALNK,,,ACLAK,Classes (tables),Supervisor,
ACLAMAP,,,ACLAKP,Classes (mapping),Supervisor,
ACLAMET,,,ACLAM,Classes (methods),Supervisor,
ACLAMETSTD,,,ACLAT,Classes (standard methods),Supervisor,
ACLAOPT,,,ACLAO,Classes (options),Supervisor,
ACLAPARDEF,,,ACLPD,Classes (parameters),Supervisor,
ACLAPARFLD,,,ACLFP,Classes (parameters),Supervisor,
ACLASSE,,,ACLA,Classes,Supervisor,
ACLBSYS,,,ASA,Graphic components,Supervisor,
ACLOB,,,ACB,Special folders,Supervisor,
ACODIF,,,ACO,Section coding,Supervisor,
ACODNUM,Modification,Modification,ANM,Doc sequence numbers,Supervisor,
ACONSTANT,,,ACST,Constants,Supervisor,
ACONSULT,,,ACN,Inquiries,Supervisor,
ACONTEXT,,,ACTX,Context,Supervisor,
ACTCODPAR,,,AAR,Action parameters,Supervisor,
ACTION,,,ACT,Action dictionary,Supervisor,
ACTIV,,,ACV,Activity codes,Supervisor,
ACTL,,,ACL,Control tables,Supervisor,
ACTLDEV,,,ACD,Reserved brackets,Supervisor,
ACTLSPE,New table,New table,ASPE,Customization audit,Supervisor,
ACTLSPELINE,New table,New table,ASPEL,Customization audit,Supervisor,
ACTPAR,,,ATR,Action parameters,Supervisor,
ADELETE,,,ADL,Deletion,Supervisor,
ADELIVER,,,ADLV,Deliverable,Supervisor,
ADELIVERB,,,ADLB,Deliverable,Supervisor,
ADELIVERD,,,ADLD,Deliverable,Supervisor,
ADELIVERL,,,ADLL,Deliverable,Supervisor,
ADELIVERO,,,ADLO,Deliverable,Supervisor,
ADELIVERP,,,ADLP,Deliverable,Supervisor,
ADELIVERR,,,ADLR,Deliverable,Supervisor,
ADELIVERT,,,ADLT,Deliverable,Supervisor,
ADICTRT,,,ADC,Processes dictionary,Supervisor,
ADIMENSION,,,ADM,Sizing elements,Supervisor,
ADOCBLB,,,ADB,Documentation (linked files),Supervisor,
ADOCCLB,,,ADH,Documentation (texts),Supervisor,
ADOCFLD,,,ADZ,Field documentation,Supervisor,
ADOCFNC,,,ADF,Documentation links,Supervisor,
ADOCUMENT,,,ADO,Documentation,Supervisor,
ADOPAR,Modification,Modification,ADP,Parameters,Supervisor,
ADOSACT,,,ADA,Activity codes,Supervisor,
ADOSDIM,,,ADE,Sizing elements,Supervisor,
ADOSLEG,New table,New table,ADLEG,Legislations,Supervisor,
ADOSLIV,,,ADK,Deliverables,Supervisor,
ADOSSIER,Modification,Modification,ADS,Folder table,Supervisor,
ADOSSOL,Modification,Modification,ADD,Solution by folder,Supervisor,
ADOVAL,,,ADW,Parameter values,Supervisor,
ADOVALAUS,,,ADU,User parameter values,Supervisor,
ADOVALGRP,,,ADG,Sets of values,Supervisor,
ADOVALHIS,,,AHW,Parameter values,Supervisor,
AECLIDBG,,,AEG,Eclipse,Supervisor,
AECLIRDV,,,AEC,Eclipse,Supervisor,
AELT,Modification,Modification,AEL,Web elements dictionary,Supervisor,
AELTLINK,,,AEK,Web element links,Supervisor,
AENCHAINE,,,AEN,Import/export sequence,Supervisor,
AENTREE,,,APE,Entry points,Supervisor,
AENUMBDGH,New table,New table,AENUMH,Enum binding header,Supervisor,
AENUMBDGL,New table,New table,AENUML,Enum binding lines,Supervisor,
AESPION,,,AES,Trace system transactions,Supervisor,
AEXPV3,,,AEV,Table setup/import,Supervisor,
AEXPV3D,,,AED,Table setup/import,Supervisor,
AFCTCUR,Modification,,AFU,Current function,Supervisor,
AFCTEXE,,,AFE,Last functions executed,Supervisor,
AFCTFCT,,,AFT,User function profile,Supervisor,
AFCTFCY,,,AFF,Site profile function,Supervisor,
AFCTPRF,,,AFP,Functional authorization,Supervisor,
AFONCTION,Modification,Modification,AFC,Function dictionary,Supervisor,
AFORDIM,,,AFO,Sizing formulas,Supervisor,
AGDPRMAI,,,AGMAI,,Supervisor,
AGDPRPHONE,,,AGPHO,,Supervisor,
AGDPRSETTING,,,AGS,GDPR setting,Supervisor,
AGDPRVCR,,,AGVCR,GDPR search,Supervisor,
AGLOBVAR,,,AGB,Global variables,Supervisor,
AGRPCPY,,,AGC,Company groupings,Supervisor,
AGRPFCY,,,AGF,Site groupings,Supervisor,
AHISTO,,,AHI,History/purge,Supervisor,
AHISTOD,,,AHD,History/purge,Supervisor,
AINDEX,,,ANX,Specific index,Supervisor,
AIOBENCH,New table,New table,AIOBE,Performance index results,Supervisor,
AITRLNK,,,AIT,Interactive components,Supervisor,
AJSAUDIT,,,AJA,Audit,Supervisor,ASD
AJSCONT,,,AJC,Sdata contract,Supervisor,ASD
AJSEXCEPT,,,AJE,Exception,Supervisor,ASD
AJSSYNC,,,AJS,Synchro,Supervisor,ASD
ALINK,,,ALI,Link explorer,Supervisor,
ALISTEC,,,ALC,Graphical query tool,Supervisor,
ALISTED,,,ALD,Query tool,Supervisor,
ALISTEH,,,ALH,Query tool,Supervisor,
ALISTEL,,,ALL,Graphical query tool,Supervisor,
ALISTER,,,ALR,Query tool,Supervisor,
ALISTET,,,ALT,Graphical query tool,Supervisor,
ALNKSUB,,,ALB,Subdivision links,Supervisor,
ALOGIN,Modification,Modification,ALO,Login table,Supervisor,AUDIT
ALSTRD,,,ALS,Last records read,Supervisor,
AMAINT,,,AMI,Database mass update,Supervisor,
AMEMO,,,AMM,Memo,Supervisor,
AMENLOC,Modification,Modification,AML,Header messages,Supervisor,
AMENUSER,,,AMU,User profile menu,Supervisor,
AMETUTI,,,AME,Professional profile,Supervisor,
AMIGKEY,Modification,,AMY,Keys,Supervisor,
AMOTCLE,,,AMC,Help key-words,Supervisor,
AMOULIN,,,AI0,Migration process,Supervisor,
AMOULIN1,,,AI1,Migration plan,Supervisor,
AMOULIN2,,,AI2,Migration plan detail,Supervisor,
AMSK,Modification,Modification,AMK,Screen dictionary,Supervisor,
AMSKACT,,,AMA,Action-object assignment table,Supervisor,
AMSKPAR,,,AMP,Action-object parameters,Supervisor,
AMSKZON,Modification,Modification,AMZ,Screen field dictionary,Supervisor,
ANAVCRE,,,ANI,Navigation,Supervisor,
ANAVFIL,,,ANH,Navigation,Supervisor,
ANAVIG,,,ANG,Navigation,Supervisor,
ANNUAIRE,,,ANU,User directory,Supervisor,
ANODCPS,New table,New table,ANODCP,Composite references,Supervisor,
ANODCPT,New table,New table,ANODCT,Computed properties,Supervisor,
ANODE,New table,New table,ANODE,Node (API),Supervisor,
ANODEBDG,New table,New table,ANODEB,Node binding,Supervisor,
ANODGVAR,New table,New table,ANGV,Global variable for API,Supervisor,
ANODPBDG,New table,New table,ANODPB,Node binding properties,Supervisor,
ANODPROP,New table,New table,ANODP,Node properties,Supervisor,
ANODREF,New table,New table,ANODRF,Node references,Supervisor,
AOBJBUR,,,AOA,Office documents,Supervisor,
AOBJBURMOD,,,AON,Default documents,Supervisor,
AOBJET,,,AOB,Basic objects,Supervisor,
AOBJEXT,Modification,Modification,AOE,Import/export templates,Supervisor,
AOBJEXTD,,,AOD,Object import/export lines,Supervisor,
AOBJEXTMP,,,AOW,Import/export temporary storage space,Supervisor,
AOBJEXTMPB,,,AOZ,Import/export temporary storage space,Supervisor,
AOBJEXTMPC,,,AOY,Import/export temporary storage space,Supervisor,
AOBJEXTMPD,,,AOV,Import/export temporary storage space,Supervisor,
AOBJEXTMPE,Modification,Modification,AOU,Import/export temporary storage space,Supervisor,
AOBJEXTR,,,AOR,Transcribe import/export,Supervisor,
AOBJLNK,,,AOK,Link explorer,Supervisor,
AOBJLST,,,AOL,Basic objects,Supervisor,
AOBJPROP,,,AOP,Object properties,Supervisor,
AOBJSEL,,,AOS,Select memo file,Supervisor,
AOBJTAB,,,AOT,Object table,Supervisor,
AOBJTXT,Modification,Modification,AOX,Attachments,Supervisor,
AOBJTXTA,,,AOM,Key word table,Supervisor,
APACKACV,New table,New table,APACACV,Activity code for packages,Supervisor,
APACKAGE,New table,New table,APACK,Package name (API),Supervisor,
APARIMPEXP,,,APX,Import/export parameters,Supervisor,
APATCH,Modification,,APT,Patch tracking,Supervisor,
APATCHLOG,,,APL,Patch tracking,Supervisor,
APATCHLOGD,,,APLD,Patch tracking,Supervisor,
APATCHMOD,,,APH,Setup templates,Supervisor,
APATCHTMP,,,APATMP,Patch integration,Supervisor,
APIOPE,New table,New table,APIOPE,Operation (API),Supervisor,
APLCOM,,,ACM,Sequence number definition,Supervisor,
APLCOMH,,,ACMH,Sequence number definition,Supervisor,
APLLCK,,,ALK,Lock table,Supervisor,
APLSTD,,,AST,Local menus,Supervisor,
APOOLBRG,,,APB,Java bridge pool,Supervisor,
APOOLWS,,,APW,Web services pool,Supervisor,
APORTMOD,,,AMO,Dashboard modules,Supervisor,
APORTTAB,Modification,Modification,APA,Dashboard gadgets,Supervisor,
APORTTYP,,,ATP,Gadget group,Supervisor,
APORTUSER,,,APU,User dashboard,Supervisor,
APORTVIG,,,AVP,Gadgets,Supervisor,
APRINTDES,,,AID,Printer description,Supervisor,
APRINTER,,,AIM,Destinations,Supervisor,
APROCESSUS,,,APR,Processes,Supervisor,
APROCTEXTE,,,AXP,Process texts,Supervisor,
APROFIL,,,APF,User profile,Supervisor,
APROMEN,,,APO,Process menu,Supervisor,
APRTAUS,,,AIA,Destinations by user,Supervisor,
APRTBRW,,,AP2,Multilists,Supervisor,APL
APTLPAGE,,,APS,Dashboard pages,Supervisor,APL
APTLPAR,,,APP,Dashboard view parameters,Supervisor,APL
APTLVW,,,APV,Dashboard views,Supervisor,APL
AQRESULTS,Deleted table,,AQR,Test 51137,Supervisor,
ARCHPAR,,,ARC,Archiving rules,Supervisor,
ARCHPARE,,,ARE,Archiving parameters,Supervisor,
ARCHPARU,,,ARU,EDM user profile,Supervisor,
ARCHPARW,,,ARW,Archiving parameters,Supervisor,
AREFAML,,,ARN,Text cross references,Supervisor,
AREFTXT,,,ART,Text cross references,Supervisor,
AREPORT,,,ARP,Report dictionary,Supervisor,
AREPORTA,,,ARA,Printer setup,Supervisor,
AREPORTD,,,ARD,Report parameters,Supervisor,
AREPORTG,,,ARG,Printer setup,Supervisor,
AREPORTM,,,ARM,Temporary print key table,Supervisor,
AREPORTS,,,ARO,Reports - data sources,Supervisor,
AREPORTV,,,ARV,Reports,Supervisor,
AREPORTX,,,ARX,Reports,Supervisor,
AREPORTZ,,,ARZ,ZPL reports,Supervisor,
AROLE,,,ARL,Row level permissions,Supervisor,
ASHW,,,ASW,Representations,Supervisor,
ASHWBLC,Modification,Modification,ASWB,Representation (Blocks),Supervisor,
ASHWCOL,,,ASWC,Representations (Collections),Supervisor,
ASHWEXPPRO,Modification,Modification,ASWR,Representations (displayed),Supervisor,
ASHWFLD,,,ASWF,Representations (Lines),Supervisor,
ASHWLNK,,,ASWK,Representations (Anchors),Supervisor,
ASHWMENU,,,ASWMN,Representations (Menus),Supervisor,
ASHWMET,,,ASWM,Representation (methods),Supervisor,
ASHWOPT,,,ASWO,Representations (Options),Supervisor,
ASHWPAR,,,ASWP,Representation (parameters),Supervisor,
ASHWPARMET,,,ASWMP,Representation (method param),Supervisor,
ASHWSEC,Modification,Modification,ASWS,Representation (Sections),Supervisor,
ASTYLE,,,ASY,Presentation styles,Supervisor,
ASTYLEC,,,ASL,Conditional styles,Supervisor,
ASTYLEP,,,AYP,Personalized styles,Supervisor,
ASUBPROG,,,ASU,Subprogram table,Supervisor,
ASUBPROGD,,,ASP,Sub-program (fields),Supervisor,
ASYSSMDBASSO,New table,Modification,ASM3,X3,Supervisor,
ASYSSMEXTERN,New table,,ASM1,X3,Supervisor,
ASYSSMINTERN,New table,,ASM0,X3,Supervisor,
ASYSSMPROCES,New table,,ASM2,X3,Supervisor,
ATABAUD,,,ATA,Fields audited,Supervisor,AUDIT
ATABDIV,,,ADI,Miscellaneous tables,Supervisor,
ATABIND,Modification,Modification,ATI,Index dictionary,Supervisor,
ATABLE,Modification,Modification,ATB,Table dictionary,Supervisor,
ATABTAB,,,ADV,Miscellaneous table set-up,Supervisor,
ATABZON,Modification,Modification,ATZ,Field dictionary,Supervisor,
ATEXMOD,,,ATM,Text sequence number by module,Manufacturing,
ATEXTE,,,ATX,Dictionary messages,Supervisor,
ATEXTEXCEP,,,AEX,Exceptions (translations),Supervisor,DIS
ATEXTRA,,,AXX,Texts to translate,Supervisor,
ATMPTRA,,,ATT,Temporary trace file,Supervisor,
ATRADIS,,,TAT,Import/export tracking,Development,DIS
ATRANSAC,,,ATN,Transaction type,Supervisor,
ATYPE,,,ATY,Data types,Supervisor,
ATYPELNK,,,ATYL,Data type links,Supervisor,
ATYPELPAR,,,ATYLP,Data type parameters,Supervisor,
ATYPEPRO,,,ATYP,Content type,Supervisor,
ATYPERPAR,,,ATYRP,Data type parameters,Supervisor,
ATYPERUL,,,ATYR,Data type rules,Supervisor,
AUDITBI,Modification,,AUI,Audit bl,Supervisor,AUDIT
AUDITH,Modification,Modification,AUD,Audit - header,Supervisor,AUDIT
AUDITL,,,AUL,Audit - lines,Supervisor,AUDIT
AUPDATE,New table,New table,AUPD,Update,Supervisor,
AUPDATELINE,New table,New table,AUPDL,Update,Supervisor,
AUPDATEPATH,New table,New table,AUPDP,Update,Supervisor,
AURL,,,AUR,Definition of URL,Supervisor,
AUSRBPR,,,AUB,BP users,Supervisor,
AUSRSOL,,,AUO,Solution users,Supervisor,
AUSRSTA,,,AUA,Statistics,Supervisor,
AUTILIS,,,AUS,Users,Supervisor,
AUTILITY,New table,New table,AUTI,Utilities,Supervisor,
AVALATT,,,AVA,Sequence number values,Supervisor,
AVALNUM,,,AVN,Sequence number values,Supervisor,
AVARLOC,,,AVR,Formula wizard setup,Supervisor,
AVIEW,Modification,Modification,AVW,Dictionary of views,Supervisor,
AVIEWB,,,AVB,Dictionary of views,Supervisor,
AVIEWC,,,AVC,Dictionary of keys,Supervisor,
AVIEWD,,,AVD,Dictionary of views,Supervisor,
AVIEWE,New table,New table,AVE,List of tables and views,Supervisor,
AVOCAB,,Modification,AVO,Personalized vocabulary,Supervisor,
AVOLUME,Modification,Modification,AVL,Volume,Supervisor,
AWEBSERDES,,,AWY,Web service mapping,Supervisor,
AWEBSERVIC,,,AWE,Web services,Supervisor,
AWINBOUT,,,AWT,Window button dictionary,Supervisor,
AWINBRO,,,AWB,Browser window dictionary,Supervisor,
AWINDOW,,,AWI,Window dictionary,Supervisor,
AWINPAR,,,AWP,Window parameters,Supervisor,
AWRKHISDES,,,AWO,Workflow history,Supervisor,
AWRKHISJOI,,,AWJ,Workflow history,Supervisor,
AWRKHISMES,Modification,Modification,AWG,Worksflow message history,Supervisor,
AWRKHISSUI,Modification,,AWS,Workflow tracking archive,Supervisor,
AWRKLNK,Modification,Modification,AWM,Data models,Supervisor,
AWRKPAR,Modification,Modification,AWA,Workflow rules,Supervisor,
AWRKPARC,,,AWC,Workflow rules (actions),Supervisor,
AWRKPARF,,,AWF,Workflow rules (signature),Supervisor,
AWRKPARH,,,AWH,Workflow rules (recipient),Supervisor,
AWRKPARX,,,AWX,Simplified workflow,Supervisor,
AWRKREG,,,AWR,Assignment rules,Supervisor,
AWRKREGVAL,,,AWV,User assignment,Supervisor,
AWRKTAB,Modification,Modification,AWK,Data models,Supervisor,
AWRKTRN,,,AWW,Workflow workbench,Supervisor,
AWRKTRND,,,AWD,Workflow workbench,Supervisor,
AWRKUSR,,,AWU,User delegates,Supervisor,
AWSDL,,,AXL,Web services,Supervisor,
AWSDL1,,,AX1,Web services structure,Supervisor,
AYTACT,,,AYA,Web action,Supervisor,AYT
AYTADVPAR,,,AYU,Advanced setup,Supervisor,AYT
AYTBASKED,,,AYK,Basket line,Supervisor,AYT
AYTDOC,,,AYY,Html document,Supervisor,AYT
AYTELTBLC,,,AYB,Blocks,Supervisor,AYT
AYTELTBLCW,,,AYW,Conditioned blocks,Supervisor,AYT
AYTELTDLK,,,AYL,Dynamic links,Supervisor,AYT
AYTELTFLD,,,AYF,Field token,Supervisor,AYT
AYTELTSPE,,,AYX,Special fields,Supervisor,AYT
AYTENT,,,AYE,Entity,Supervisor,AYT
AYTFCY,,,AYS,Websites,Supervisor,AYT
AYTFRM,,,AYZ,Form,Supervisor,AYT
AYTINT,,,AYI,Interface,Supervisor,AYT
AYTLINES,,,AYN,Lines by types,Supervisor,AYT
AYTMEN,,,AYC,List of values,Supervisor,AYT
AYTMES,,,AYM,Messages,Supervisor,AYT
AYTPAG,,,AYG,Web pages,Supervisor,AYT
AYTPOOWEB,,,AYO,Web services pools,Supervisor,AYT
AYTPRF,,,AYD,Web site profile,Supervisor,AYT
AYTPRFUSR,,,AYH,Safe X3 WAS profile,Supervisor,AYT
AYTPRFX3,,,AYR,Website user,Common Data,AYT
AYTTEST,,,AYT,Tests,Supervisor,AYT
BADDTER,New table,New table,BAT,Bad debt terms,Financials,BADBT
BALAGEEOY,,,BGY,EOFY aged overdue invoice list,Financials,
BALANA,,,BLA,Analytical balance,Financials,
BALANCE,,,BAL,General balance,Financials,
BALCONSO,Modification,,BLC,Consolidation trial balance,Financials,CSL1
BALDEM,,,BAM,Double entry balance,Financials,KRU
BALDEMIDT,,,BAI,Double entry balance index,Financials,KRU
BALPRECSL,New table,,BLP,Pre-consolidation balances,Financials,PRCSL
BANK,Modification,Modification,BAN,Bank accounts,Common Data,
BANKCASHREG,New table,New table,BCREG,Bank/Cash register,A/P-A/R accounting,REGBC
BANKPOSD,,,BPL,Banking position,A/P-A/R accounting,BANFO
BANREC,,,BEH,Bank Reconciliation Statement,A/P-A/R accounting,
BANRECD,,,BED,Bank Statement Lines,A/P-A/R accounting,
BAPPOINT,Modification,,BAP,Appointment,Common Data,
BASGEN,New table,,BAS,Profit-sharing base,Human Resources administration,
BASIND,New table,,HRBAI,Individ. DPS scheme base,Human Resources administration,
BATCH,Modification,Modification,BTC,Batch job parameters,Common Data,
BBLOB,New table,,BBB,Special folders,Common Data,FHRPA
BCKITOREN,New table,,BREN,Backup integration reason,Common Data,KPO
BCLOB,New table,Modification,BCB,Special folders,Common Data,FHRPA
BDTTRK,New table,New table,BDT,Bad debts,Financials,BADBT
BENCHTRS,Modification,Modification,BTS,Plan transaction,Stock,
BETCPY,,,BCH,Intercompany parameters,Common Data,
BETCPYL,,,BCL,Intercompany parameters,Common Data,
BGRBAN,,,BGR,Bank group,A/P-A/R accounting,BANFO
BID,Modification,,BID,Bank ID statement,Supervisor,
BIDXT,New table,New table,BIDXT,Bank ID statement,Common Data,
BILIND,New table,Modification,BIN,Annual employee report indicators,Human Resources administration,FBIL
BILLLADC,,,BOLC,Bill of lading contents,Common Data,
BILLLADD,,,BOLD,Bill of lading detail,Common Data,
BILLLADH,,,BOLH,Bill of lading header,Common Data,
BILLLADWRK,Modification,,BOLW,Bill of lading report,Common Data,
BILRES,New table,Modification,BIL,Annual employee report,Human Resources administration,FBIL
BILSTA,Modification,,BES,BOE statement and promissory note,A/P-A/R accounting,
BILTXT,New table,Modification,BIX,Annual employee report,Human Resources administration,FBIL
BITMPPORDERP,,,BIPOP,POs price,Purchasing,
BITMPPORDERQ,,,BIPOQ,POs quantities,Purchasing,
BITMPSORDERP,,,BISOP,Sales orders - price,Sales,
BITMPSORDERQ,,,BISOQ,Sales orders - quantities,Sales,
BLACMM,,,BLM,Analytical commitment balance,Financials,
BLAQTY,,,BLQ,Analytical quantity balance,Financials,
BLOBEXPENSES,,,BEXP,Expense note photo,A/P-A/R accounting,
BNKTRSIMP,,,BTI,Import transfers from Sage treasury,Financials,CASIN
BOM,Modification,Modification,BOH,Header BOMS,Common Data,
BOMCREF,New table,New table,BCR,Component reference,Common Data,
BOMD,Modification,Modification,BOD,Detail BOMs,Common Data,
BOMPRN,Modification,,BOP,Print BOMs,Common Data,
BOMRET,Modification,Modification,BMR,Trial kitting,Common Data,
BOMWUS,,,BOW,Where-used BOM,Common Data,
BOSIMP,New table,Modification,BOSI,Subcontract BOM,Common Data,
BOX1099,,,BX9,1099 box,Financials,S1099
BP1096PRN,,,B96R,1096 print table,Financials,S1099
BP1099BEGBAL,,,B9B,1099 beginning balance,Financials,S1099
BP1099PRN,,,B9R,1099 print table,Financials,S1099
BPADDRESS,Modification,Modification,BPA,Addresses,Supervisor,
BPADDRESSPOR,New table,New table,BPAPOR,Addresses,Common Data,FPOPH
BPADDRESSSA,New table,,BPASA,Addresses,Common Data,FZAPH
BPADDRESSXT,New table,New table,BPAXT,Addresses,Common Data,
BPARTNER,Modification,Modification,BPR,Business partner,Common Data,
BPCARRIER,,,BPT,Carriers,Common Data,
BPCCATEG,Modification,,BCG,Customer category,Common Data,
BPCINVLIG,Modification,Modification,SIL,Customer invoice lines,A/P-A/R accounting,
BPCINVLIGA,,,SIA,Customer analytical line,A/P-A/R accounting,
BPCINVLIGLOC,New table,New table,SILLOC,Customer invoice lines,A/P-A/R accounting,
BPCINVVAT,,,SIT,Tax rates,A/P-A/R accounting,
BPCUSTMVT,,,MVC,Customer transactions,Common Data,
BPCUSTOMER,Modification,,BPC,Customers,Common Data,
BPCUSTOMERXT,New table,New table,BPCTX,Customers,Common Data,
BPDLVCUST,,,BPD,Ship-to customer,Common Data,
BPDLVCUSTXT,New table,New table,BPDXT,Ship-to customer,Common Data,
BPEXCEPT,Modification,Modification,BPE,BP-Company exception,Common Data,MUL
BPMISC,,,BPM,Order-giver/miscellaneous BP,Common Data,
BPMISCCGF,,,BPG,Miscellaneous BP configuration,Common Data,
BPS1099GEN,,,B9G,1099 generation,Financials,S1099
BPS1099MNT,,,B9M,Supplier 1099 maintenance,Financials,S1099
BPS1099PAY,,,B9P,Supplier 1099 payments,Financials,S1099
BPSCATEG,Modification,Modification,BSG,Supplier category,Common Data,
BPSHISUPLN,,,BSL,Ship-to addresses,Common Data,
BPSHISUPP,,,BSS,Shipping site suppliers,Common Data,
BPSINVLIG,Modification,Modification,PIL,Supplier invoice lines,A/P-A/R accounting,
BPSINVLIGA,,,PIA,Supplier analytical line,A/P-A/R accounting,
BPSUPPLIER,Modification,Modification,BPS,Suppliers,Common Data,
BPSUPPMVT,,,MVS,Supplier transactions,Common Data,
BRDKEY,,,BRD,Distribution key,Fixed Assets,
BSEINQ,New table,,BSI,Balance sheet inquiry,Financials,
BSIBPRNUM,New table,,BSIBPN,BP number definition,A/P-A/R accounting,BSI
BSIBPRNUMD,New table,,BSIBPND,BP number definition detail,A/P-A/R accounting,BSI
BSIDUD,New table,,BSIDUD,Open items,A/P-A/R accounting,BSI
BSIELTMAP,New table,,BSIELT,Camt element mapping detail,A/P-A/R accounting,BSI
BSIELTMAPD,New table,,BSIELTD,Camt element mapping,A/P-A/R accounting,BSI
BSIFILFMT,New table,Modification,BSIFFM,Bank import format definition,A/P-A/R accounting,BSI
BSIFILFMTD,New table,,BSIFFD,Bank import format def. detail,A/P-A/R accounting,BSI
BSIIMP,New table,Modification,BSIIMP,Bank statement import,A/P-A/R accounting,BSI
BSIIMPD,New table,Modification,BSIIMPD,Bank statement import detail,A/P-A/R accounting,BSI
BSIIMPDS,New table,Modification,BSIIMPS,Bank statement imp. sub-detail,A/P-A/R accounting,BSI
BSIIMPPAR,New table,Modification,BSIIP,Bank import settings,A/P-A/R accounting,BSI
BSIIMPTC,New table,Modification,BSITC,Bank import type codes,A/P-A/R accounting,BSI
BSIINVDIO,New table,,BSIIND,Invoice number definition,A/P-A/R accounting,BSI
BSIINVDIOD,New table,,BSIINDD,Invoice number def. detail,A/P-A/R accounting,BSI
BSIITCD,New table,Modification,BSIITCD,Bank import type codes,A/P-A/R accounting,BSI
BSIMANENT,New table,,BSIMAN,Manual entry,A/P-A/R accounting,BSI
BSIPAY,New table,New table,BSIPAY,Payments,A/P-A/R accounting,BSI
BSISCT,New table,,BSISCT,Bank import segment,A/P-A/R accounting,BSI
BSISCTD,New table,,BSISCTD,Bank import segment detail,A/P-A/R accounting,BSI
BSISEAEXD,New table,,BSISEA,Excluded terms,A/P-A/R accounting,BSI
BSISEALIS,New table,,BSILIS,Search term list,A/P-A/R accounting,BSI
BSISEALISD,New table,,BSILISD,Search term list detail,A/P-A/R accounting,BSI
BUD,Modification,,BUD,Budget table,Financials,
BUDAPP,,,BOA,Budget approval,Financials,GDD
BUDAPPDET,,,BAD,Approval detail,Financials,GDD
BUDFORCAL,Modification,,BUC,Budget calculation formula,Financials,
BUDOD,,,BDE,Budget misc. operations,Financials,
BUDODS,Modification,,BDO,Budget misc. operations,Financials,
BUDPAR,Modification,,BUP,Budget setup,Financials,
BUDPURAUD,,,BUA,Audit,Financials,
BUDREF,New table,Modification,BUR,Reference budget,Human Capital management,FRT
BUDREV,,,BRV,Budget review,Financials,GDD
BUDREVDET,,,BVD,Review detail,Financials,GDD
BUDTYP,,,BUT,Budget type,Financials,GDD
BUDVARCAL,,,BVC,Budget calculation variable,Financials,
BUDVER,,,BUV,Budget versions,Financials,
BUILOCSPA,,,BLS,Building location,Financials,KSP
BULCAL,New table,New table,BUL,Calendar slip,Common Data,FHRPA
CAAUZ,,,CAZ,Restriction table,Common Data,
CACCE,,,CCE,Dimensions,Common Data,
CACCEDEF,Modification,Modification,CDE,Default dimensions,Common Data,
CADIEDEF,,,CDI,Default dimension types,Common Data,
CADIETPS,New table,New table,CDT,Dimension types,Common Data,FHRPA
CADISTMP,,,DTP,Budget weighting codes,Financials,
CADSP,,,DSP,Analytical allocations,Common Data,
CAECOD,New table,Modification,CAEC,CAE code,Common Data,KPO
